entity_id,entity_text,entity_type,confidence,attributes,source_file,content_hash,create_time
E_c5ab8620,滑动轴承,轴承产品,1.0,"{""category"": ""轴承类型"", ""specification"": ""用于机械领域""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,c5ab862046ea582c55978c9e6ec40fed,2025-07-26T09:28:04.494362
E_abfc8f40,减摩层,零件组件,1.0,"{""category"": ""轴承功能层"", ""thickness"": ""3.5mm~4.0mm""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,abfc8f408e38ea73041df50606e8b1ff,2025-07-26T09:28:04.494362
E_b7b90a98,巴氏合金,金属材料,1.0,"{""category"": ""锡基合金"", ""composition"": ""锡(Sn)、锑(Sb)、铜(Cu)""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,b7b90a98105af6fe40c02ff9d7175112,2025-07-26T09:28:04.494362
E_a7ce0f99,离心铸造,主工序,1.0,"{""category"": ""铸造工艺"", ""temperature"": ""440℃~460℃""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,a7ce0f996d94cb5d1477cf1ff38f6e7b,2025-07-26T09:28:04.494362
E_c1a11533,黑色斑点,质量缺陷,1.0,"{""category"": ""铸造缺陷"", ""description"": ""弥散状孔洞和夹杂物聚集""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,c1a11533f53bd5787097cf215ba2e5bc,2025-07-26T09:28:04.494362
E_5173011e,电炉,加工设备,1.0,"{""category"": ""熔化设备"", ""capacity"": ""500kg""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,5173011ebc03097a091910d9120e3415,2025-07-26T09:28:04.494362
E_b32eaacd,N2气体装置,辅助设备,1.0,"{""category"": ""净化装置"", ""flow_rate"": ""6~8L/min""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,b32eaacd9f48d7d47412cafbc9148a38,2025-07-26T09:28:04.494362
E_af3b1025,电动锡输送泵,工艺装备,1.0,"{""category"": ""熔体输送设备"", ""model"": ""Sn-DH220-50""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,af3b10251ea9c2d6479038f6eed4b444,2025-07-26T09:28:04.494362
E_7f69b1d7,直读光谱仪,检测设备,1.0,"{""category"": ""成分分析仪"", ""model"": ""OPA-1000""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,7f69b1d737536ae22cb12a5dbc4f7308,2025-07-26T09:28:04.494362
E_43d54f34,扫描电子显微镜,检测设备,1.0,"{""category"": ""显微分析仪"", ""model"": ""日本电子JSM-IT100""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,43d54f34e0198751de19e7163f0a53b0,2025-07-26T09:28:04.494362
E_5a5f9ef7,Cu6Sn5,化学成分,1.0,"{""category"": ""金属间化合物"", ""role"": ""阻碍气体排出""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,5a5f9ef782b4448d525e0abb57de91cd,2025-07-26T09:28:04.494362
E_9d9f2b6a,SiC/Si3N,化学成分,1.0,"{""category"": ""陶瓷涂层成分"", ""thickness"": ""0.8mm~1.2mm""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,9d9f2b6a7ccaf80695ebc7a6a5ed5679,2025-07-26T09:28:04.494362
E_75eadcf5,轴承基体,零件组件,1.0,"{""category"": ""支撑结构"", ""material"": ""钢质""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,75eadcf5b7dd3189ba267a2310a46cce,2025-07-26T09:28:04.494362
E_e35bf250,挂锡,具体工步,1.0,"{""category"": ""表面处理"", ""thickness"": ""0.1mm""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,e35bf25001958c9e8452cbe1cd90c0d5,2025-07-26T09:28:04.494362
E_1ef2f086,造影技术,检测方法,1.0,"{""category"": ""无损检测"", ""standard"": ""核工业级JYBL-4""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,1ef2f086078a1ba5525d239c8c9831e7,2025-07-26T09:28:04.494362
E_b2080951,150℃,工艺过程实体,0.95,"{""category"": ""工艺参数"", ""parameter_type"": ""温度"", ""unit"": ""℃"", ""value"": ""150""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,b2080951e72264733bb6891085b3ade8,2025-07-26T09:28:04.494362
E_28a05608,60℃,工艺过程实体,0.95,"{""category"": ""工艺参数"", ""parameter_type"": ""温度"", ""unit"": ""℃"", ""value"": ""60""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,28a056087a6fe099d4bebb26a5bf926a,2025-07-26T09:28:04.494362
E_2a696330,440℃,工艺过程实体,0.95,"{""category"": ""工艺参数"", ""parameter_type"": ""温度"", ""unit"": ""℃"", ""value"": ""440""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,2a696330733d14826e4918652041b9f1,2025-07-26T09:28:04.494362
E_da581491,460℃,工艺过程实体,0.95,"{""category"": ""工艺参数"", ""parameter_type"": ""温度"", ""unit"": ""℃"", ""value"": ""460""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,da581491282debf7556ae77db1f8d0ae,2025-07-26T09:28:04.494362
E_224b35de,470℃,工艺过程实体,0.95,"{""category"": ""工艺参数"", ""parameter_type"": ""温度"", ""unit"": ""℃"", ""value"": ""470""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,224b35deaa5d20b51f150dbd667d0a2e,2025-07-26T09:28:04.494362
E_a4405802,490℃,工艺过程实体,0.95,"{""category"": ""工艺参数"", ""parameter_type"": ""温度"", ""unit"": ""℃"", ""value"": ""490""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,a4405802a3c83cc0a8e90da21aecc21a,2025-07-26T09:28:04.494362
E_9dc0c22b,350℃,工艺过程实体,0.95,"{""category"": ""工艺参数"", ""parameter_type"": ""温度"", ""unit"": ""℃"", ""value"": ""350""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,9dc0c22b15b37fa2c5b917e4e63b00a4,2025-07-26T09:28:04.494362
E_1b72cceb,300℃,工艺过程实体,0.95,"{""category"": ""工艺参数"", ""parameter_type"": ""温度"", ""unit"": ""℃"", ""value"": ""300""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,1b72ccebc25220eb262681e0ae77a6e6,2025-07-26T09:28:04.494362
E_4dabc41f,400℃,工艺过程实体,0.95,"{""category"": ""工艺参数"", ""parameter_type"": ""温度"", ""unit"": ""℃"", ""value"": ""400""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,4dabc41f808cf0c6a4ba9c34169b1762,2025-07-26T09:28:04.494362
E_793a7144,232℃,工艺过程实体,0.95,"{""category"": ""工艺参数"", ""parameter_type"": ""温度"", ""unit"": ""℃"", ""value"": ""232""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,793a71444600fa4d0a2d5f5dd1593bce,2025-07-26T09:28:04.494362
E_6ae303fa,13mm,产品实体,0.9,"{""category"": ""尺寸参数"", ""unit"": ""mm"", ""value"": ""13""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,6ae303fa23d37f01cbcc963b052bef3c,2025-07-26T09:28:04.494362
E_bf16b67c,3.5mm,产品实体,0.9,"{""category"": ""尺寸参数"", ""unit"": ""mm"", ""value"": ""3.5""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,bf16b67ce9e54b129d549f490b4924b7,2025-07-26T09:28:04.494362
E_f356ecb6,4.0mm,产品实体,0.9,"{""category"": ""尺寸参数"", ""unit"": ""mm"", ""value"": ""4.0""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,f356ecb60429b5009b1bba39166aae8e,2025-07-26T09:28:04.495362
E_20de2bbb,13 mm,产品实体,0.9,"{""category"": ""尺寸参数"", ""unit"": ""mm"", ""value"": ""13""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,20de2bbbd8975cc4a6e8ef34a056de56,2025-07-26T09:28:04.495362
