relation_id,source_entity,target_entity,relation_type,confidence,attributes,source_file,content_hash,create_time
R_dbee803f,离心铸造,减摩层,工序-零件加工,1.0,"{""direction"": ""正向"", ""strength"": ""强"", ""context"": ""用于制造减摩层""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,dbee803f074147ff389e98f7089a97cd,2025-07-26T09:28:04.528698
R_dfe8725d,挂锡,轴承基体,工步-特征加工,1.0,"{""direction"": ""正向"", ""strength"": ""强"", ""context"": ""提高结合强度""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,dfe8725d8bec03e64ac8ec28f78e6a51,2025-07-26T09:28:04.528698
R_45f4edcc,电炉,离心铸造,设备-工序执行,0.9,"{""direction"": ""正向"", ""strength"": ""中"", ""context"": ""熔化巴氏合金用于铸造""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,45f4edcc47520d1733d317ae8de24090,2025-07-26T09:28:04.528698
R_a78e1164,离心铸造,N2气体装置,工序-设备使用,1.0,"{""direction"": ""正向"", ""strength"": ""强"", ""context"": ""净化熔体""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,a78e116463ccff85eaa1081a4655216f,2025-07-26T09:28:04.528698
R_94f33e6b,离心铸造,巴氏合金,工序-材料使用,1.0,"{""direction"": ""正向"", ""strength"": ""强"", ""context"": ""主要铸造材料""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,94f33e6b2df0c84aaa0e950b93f65426,2025-07-26T09:28:04.528698
R_a1c93bf1,电动锡输送泵,中间保温包,设备-装备使用,0.9,"{""direction"": ""正向"", ""strength"": ""中"", ""context"": ""输送熔体""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,a1c93bf1be5ee19057f9aedb643131f1,2025-07-26T09:28:04.528698
R_761566c6,滑动轴承,减摩层,产品-零件包含,1.0,"{""direction"": ""正向"", ""strength"": ""强"", ""context"": ""核心功能层""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,761566c6086c8274619abb3f3eb885b2,2025-07-26T09:28:04.528698
R_547230de,减摩层,黑色斑点,零件-特征包含,1.0,"{""direction"": ""正向"", ""strength"": ""强"", ""context"": ""质量缺陷""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,547230de7c859c1721497ccf7c7ba34f,2025-07-26T09:28:04.528698
R_8cc90b1e,造影技术,黑色斑点,检测-缺陷发现,1.0,"{""direction"": ""正向"", ""strength"": ""强"", ""context"": ""检测缺陷分布""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,8cc90b1ea04c90baef6b937ce941ff4d,2025-07-26T09:28:04.528698
R_8ea6019c,N2气体净化,黑色斑点,措施-缺陷消除,0.9,"{""direction"": ""正向"", ""strength"": ""中"", ""context"": ""减少气体含量""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,8ea6019c453ee755b168697572353bdc,2025-07-26T09:28:04.528698
R_7e40cb79,离心铸造,温度,工序-参数控制,1.0,"{""direction"": ""正向"", ""strength"": ""强"", ""context"": ""440℃~460℃""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,7e40cb79cecc147e74835f0cc5a7464e,2025-07-26T09:28:04.528698
R_e9596c87,电炉,熔体温度,设备-参数设定,1.0,"{""direction"": ""正向"", ""strength"": ""强"", ""context"": ""470℃~490℃""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,e9596c87b158185499275d0034259640,2025-07-26T09:28:04.528698
R_910a9657,巴氏合金,熔点,材料-性能参数,0.8,"{""direction"": ""正向"", ""strength"": ""中"", ""context"": ""锡基合金熔点""}",滑动轴承离心铸造巴氏合金层黑色斑点特征、成因及消除_吕忠光.pdf,910a96570f835ddd05c0f5e90d1254f0,2025-07-26T09:28:04.528698
R_bbfde6a2,热变形连接,Cronidur30轴承钢,工艺加工关系,1.0,"{""direction"": ""工艺-材料"", ""strength"": ""强"", ""context"": ""热变形连接工艺应用于Cronidur30轴承钢""}",Cronidur30轴承钢热变形连接工艺研究_张家源.pdf,bbfde6a2a2f2c8beadf71a9ae71e0ccb,2025-07-26T09:31:14.720232
R_d43ca88a,1000℃,热变形连接,参数控制关系,1.0,"{""direction"": ""参数-工艺"", ""strength"": ""强"", ""context"": ""1000℃是热变形连接的温度参数""}",Cronidur30轴承钢热变形连接工艺研究_张家源.pdf,d43ca88ad395a70ede92a2c9d3b58b4e,2025-07-26T09:31:14.720232
R_a8263c8f,10%,热变形连接,参数控制关系,1.0,"{""direction"": ""参数-工艺"", ""strength"": ""强"", ""context"": ""10%是热变形连接的变形量参数""}",Cronidur30轴承钢热变形连接工艺研究_张家源.pdf,a8263c8f4c4d17de866c49f223742a02,2025-07-26T09:31:14.720232
